id,category,subcategory,material_name,manufacturer,process,density,yield_strength,uts,elongation,modulus,hardness,thermal_conductivity,C,O,Fe,Cr,Ni,Mo,Mn,Si,Cu,Al,Ti,V,Co,W,Nb,N,P,S,Mg,Zn,Sn,Be,Ta,La,Ce,fatigue_strength,impact_strength,corrosion_resistance,machinability,weldability,heat_treatment,source
M_001048,Metal,Alloy Steel,AISI 5130 (Aged (150°C)),Generic,Wrought,7.85,423.3,571.2,26.75,210.0,173.4,42.0,0.3,0.0,97.0,0.8,0.0,0.15,0.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001049,Metal,Alloy Steel,AISI 5130 (Aged (200°C)),Generic,Wrought,7.85,394.25,532.0,20.0,210.0,161.5,42.0,0.3,0.0,97.0,0.8,0.0,0.15,0.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001040,Metal,Alloy Steel,AISI 5130 (Annealed),Generic,Wrought,7.85,365.2,492.8,23.25,210.0,149.6,42.0,0.3,0.0,97.0,0.8,0.0,0.15,0.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001052,Metal,Alloy Steel,AISI 5130 (As-Cast),Generic,Wrought,7.85,456.50000000000006,616.0,21.25,210.0,187.00000000000003,42.0,0.3,0.0,97.0,0.8,0.0,0.15,0.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001051,Metal,Alloy Steel,AISI 5130 (As-Forged),Generic,Wrought,7.85,415.0,560.0,23.75,210.0,170.0,42.0,0.3,0.0,97.0,0.8,0.0,0.15,0.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001050,Metal,Alloy Steel,AISI 5130 (As-Rolled),Generic,Wrought,7.85,356.9,481.6,20.25,210.0,146.2,42.0,0.3,0.0,97.0,0.8,0.0,0.15,0.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001057,Metal,Alloy Steel,AISI 5130 (Austenitic),Generic,Wrought,7.85,460.6499999999999,621.5999999999999,26.5,210.0,188.7,42.0,0.3,0.0,97.0,0.8,0.0,0.15,0.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001053,Metal,Alloy Steel,AISI 5130 (Cold Rolled),Generic,Wrought,7.85,473.1,638.4,27.25,210.0,193.8,42.0,0.3,0.0,97.0,0.8,0.0,0.15,0.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001058,Metal,Alloy Steel,AISI 5130 (Ferritic),Generic,Wrought,7.85,431.6,582.4,19.75,210.0,176.8,42.0,0.3,0.0,97.0,0.8,0.0,0.15,0.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001054,Metal,Alloy Steel,AISI 5130 (Hot Rolled),Generic,Wrought,7.85,448.2000000000001,604.8000000000001,25.75,210.0,183.6,42.0,0.3,0.0,97.0,0.8,0.0,0.15,0.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
M_001059,Metal,Alloy Steel,AISI 5130 (Martensitic),Generic,Wrought,7.85,460.6499999999999,621.5999999999999,24.0,210.0,188.7,42.0,0.3,0.0,97.0,0.8,0.0,0.15,0.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,Unknown,Unknown,as-built,Unknown
